	year	num_level_1	num_level_3	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	pct_level_1	num_level_3_and_4	boroughBROOKLYN	boroughQUEENS	boroughMANHATTAN	boroughSTATEN ISLAND	boroughBRONX	bindemographic	grade6	grade5	grade8	grade3	grade7	gradeAll Grades	grade4
43	2006	2829	5100	13345	4764	43.1	641	652	4.9	38.2	35.7	21.2	5752	0	0	0	0	1	0	1	0	0	0	0	0	0
44	2007	966	631	2644	999	25.7	625	48	1.8	23.9	37.8	36.5	679	0	0	0	0	1	1	1	0	0	0	0	0	0
45	2007	1896	5885	12978	4129	53.6	651	1068	8.2	45.3	31.8	14.6	6953	0	0	0	0	1	0	1	0	0	0	0	0	0
46	2008	539	912	2468	947	39.8	637	70	2.8	37.0	38.4	21.8	982	0	0	0	0	1	1	1	0	0	0	0	0	0
47	2008	1298	6629	12907	3460	63.1	657	1520	11.8	51.4	26.8	10.1	8149	0	0	0	0	1	0	1	0	0	0	0	0	0
48	2009	405	1177	2556	873	50.0	647	101	4.0	46.0	34.2	15.8	1278	0	0	0	0	1	1	1	0	0	0	0	0	0
49	2009	826	7208	12884	2983	70.4	666	1867	14.5	55.9	23.2	6.4	9075	0	0	0	0	1	0	1	0	0	0	0	0	0
50	2010	883	399	2694	1337	17.6	645	75	2.8	14.8	49.6	32.8	474	0	0	0	0	1	1	1	0	0	0	0	0	0
51	2010	1697	3851	12714	5235	45.5	669	1931	15.2	30.3	41.2	13.3	5782	0	0	0	0	1	0	1	0	0	0	0	0	0
52	2011	835	563	2830	1352	22.7	651	80	2.8	19.9	47.8	29.5	643	0	0	0	0	1	1	1	0	0	0	0	0	0
53	2011	1696	4208	12563	4961	47.0	670	1698	13.5	33.5	39.5	13.5	5906	0	0	0	0	1	0	1	0	0	0	0	0	0
54	2012	759	507	2558	1190	23.8	648	102	4.0	19.8	46.5	29.7	609	0	0	0	0	1	1	1	0	0	0	0	0	0
55	2012	1585	4261	12990	4821	50.7	672	2323	17.9	32.8	37.1	12.2	6584	0	0	0	0	1	0	1	0	0	0	0	0	0
56	2006	1236	343	2795	1202	12.8	609	14	0.5	12.3	43.0	44.2	357	0	0	0	0	1	1	0	0	0	0	1	0	0
57	2006	2956	4383	13860	6171	34.1	633	350	2.5	31.6	44.5	21.3	4733	0	0	0	0	1	0	0	0	0	0	1	0	0
58	2007	873	480	2593	1218	19.4	620	22	0.8	18.5	47.0	33.7	502	0	0	0	0	1	1	0	0	0	0	1	0	0
59	2007	1698	5454	13613	5528	46.9	646	933	6.9	40.1	40.6	12.5	6387	0	0	0	0	1	0	0	0	0	0	1	0	0
60	2008	418	889	2464	1121	37.5	636	36	1.5	36.1	45.5	17.0	925	0	0	0	0	1	1	0	0	0	0	1	0	0
61	2008	933	6958	13567	4425	60.5	655	1251	9.2	51.3	32.6	6.9	8209	0	0	0	0	1	0	0	0	0	0	1	0	0
62	2009	182	1222	2453	995	52.0	648	54	2.2	49.8	40.6	7.4	1276	0	0	0	0	1	1	0	0	0	0	1	0	0
63	2009	317	8329	13158	2938	75.3	665	1574	12.0	63.3	22.3	2.4	9903	0	0	0	0	1	0	0	0	0	0	1	0	0
64	2010	883	411	2609	1253	18.1	643	62	2.4	15.8	48.0	33.8	473	0	0	0	0	1	1	0	0	0	0	1	0	0
65	2010	1897	3850	12945	5473	43.1	663	1725	13.3	29.7	42.3	14.7	5575	0	0	0	0	1	0	0	0	0	0	1	0	0
66	2011	879	439	2657	1261	19.5	646	78	2.9	16.5	47.5	33.1	517	0	0	0	0	1	1	0	0	0	0	1	0	0
67	2011	1654	4037	12798	5267	45.9	666	1840	14.4	31.5	41.2	12.9	5877	0	0	0	0	1	0	0	0	0	0	1	0	0
68	2012	915	469	2739	1273	20.1	646	82	3.0	17.1	46.5	33.4	551	0	0	0	0	1	1	0	0	0	0	1	0	0
69	2012	1731	4008	12645	4963	47.1	666	1943	15.4	31.7	39.2	13.7	5951	0	0	0	0	1	0	0	0	0	0	1	0	0
70	2006	1443	359	2924	1112	12.6	610	10	0.3	12.3	38.0	49.4	369	0	0	0	0	1	1	0	0	1	0	0	0	0
71	2006	4105	3515	13814	5830	28.1	630	364	2.6	25.4	42.2	29.7	3879	0	0	0	0	1	0	0	0	1	0	0	0	0
72	2007	1208	447	2861	1191	16.1	619	15	0.5	15.6	41.6	42.2	462	0	0	0	0	1	1	0	0	1	0	0	0	0
73	2007	3292	4332	13868	5762	34.7	638	482	3.5	31.2	41.5	23.7	4814	0	0	0	0	1	0	0	0	1	0	0	0	0
