year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2008	BRONX	933	6958	EP	13567	4425	60.5	655	1251	9.2	51.3	32.6	7	6.9	8209
2009	BRONX	182	1222	ELL	2453	995	52	648	54	2.2	49.8	40.6	7	7.4	1276
2009	BRONX	317	8329	EP	13158	2938	75.3	665	1574	12	63.3	22.3	7	2.4	9903
2010	BRONX	883	411	ELL	2609	1253	18.1	643	62	2.4	15.8	48	7	33.8	473
2010	BRONX	1897	3850	EP	12945	5473	43.1	663	1725	13.3	29.7	42.3	7	14.7	5575
2011	BRONX	879	439	ELL	2657	1261	19.5	646	78	2.9	16.5	47.5	7	33.1	517
2011	BRONX	1654	4037	EP	12798	5267	45.9	666	1840	14.4	31.5	41.2	7	12.9	5877
2012	BRONX	915	469	ELL	2739	1273	20.1	646	82	3	17.1	46.5	7	33.4	551
2012	BRONX	1731	4008	EP	12645	4963	47.1	666	1943	15.4	31.7	39.2	7	13.7	5951
2006	BRONX	1443	359	ELL	2924	1112	12.6	610	10	0.3	12.3	38	8	49.4	369
2006	BRONX	4105	3515	EP	13814	5830	28.1	630	364	2.6	25.4	42.2	8	29.7	3879
2007	BRONX	1208	447	ELL	2861	1191	16.1	619	15	0.5	15.6	41.6	8	42.2	462
2007	BRONX	3292	4332	EP	13868	5762	34.7	638	482	3.5	31.2	41.5	8	23.7	4814
2008	BRONX	508	733	ELL	2225	945	34.7	635	39	1.8	32.9	42.5	8	22.8	772
2008	BRONX	1902	5801	EP	13587	5053	48.8	648	831	6.1	42.7	37.2	8	14	6632
2009	BRONX	277	1182	ELL	2524	1019	48.7	646	46	1.8	46.8	40.4	8	11	1228
2009	BRONX	747	7602	EP	13530	3994	65	661	1187	8.8	56.2	29.5	8	5.5	8789
2010	BRONX	828	396	ELL	2637	1373	16.5	649	40	1.5	15	52.1	8	31.4	436
2010	BRONX	2385	3313	EP	13262	6392	33.8	663	1172	8.8	25	48.2	8	18	4485
2011	BRONX	798	579	ELL	2724	1310	22.6	648	37	1.4	21.3	48.1	8	29.3	616
2011	BRONX	1872	4391	EP	13029	5685	42	665	1081	8.3	33.7	43.6	8	14.4	5472
2012	BRONX	659	627	ELL	2631	1277	26.4	654	68	2.6	23.8	48.5	8	25	695
2012	BRONX	1422	4568	EP	12725	5541	45.3	669	1194	9.4	35.9	43.5	8	11.2	5762
2006	BRONX	6739	4455	ELL	17867	6295	27	624	378	2.1	24.9	35.2	All Grades	37.7	4833
2006	BRONX	14345	32630	EP	79993	26340	49.1	647	6678	8.3	40.8	32.9	All Grades	17.9	39308
2007	BRONX	5101	5845	ELL	18178	6553	35.9	636	679	3.7	32.2	36	All Grades	28.1	6524
2007	BRONX	9943	36384	EP	78894	23570	57.5	656	8997	11.4	46.1	29.9	All Grades	12.6	45381
2008	BRONX	2573	7852	ELL	16465	5380	51.7	647	660	4	47.7	32.7	All Grades	15.6	8512
2008	BRONX	6335	42484	EP	77896	19020	67.5	663	10057	12.9	54.5	24.4	All Grades	8.1	52541
2009	BRONX	1530	9405	ELL	16914	4825	62.4	657	1154	6.8	55.6	28.5	All Grades	9	10559
2009	BRONX	3177	46031	EP	77030	14323	77.3	672	13499	17.5	59.8	18.6	All Grades	4.1	59530
2010	BRONX	4756	3548	ELL	17957	8891	24	656	762	4.2	19.8	49.5	All Grades	26.5	4310
2010	BRONX	9698	23864	EP	76196	31815	45.5	672	10819	14.2	31.3	41.8	All Grades	12.7	34683
2011	BRONX	4753	4132	ELL	18197	8832	25.3	657	480	2.6	22.7	48.5	All Grades	26.1	4612
2011	BRONX	8639	27754	EP	75842	30122	48.9	673	9327	12.3	36.6	39.7	All Grades	11.4	37081
2012	BRONX	4638	4127	ELL	17640	8159	27.5	657	716	4.1	23.4	46.3	All Grades	26.3	4843
2012	BRONX	8437	27494	EP	75808	28624	51.1	675	11253	14.8	36.3	37.8	All Grades	11.1	38747
2006	BROOKLYN	551	1826	ELL	3590	856	60.8	656	357	9.9	50.9	23.8	3	15.3	2183
2006	BROOKLYN	1472	9994	EP	19463	2786	78.1	677	5211	26.8	51.3	14.3	3	7.6	15205
2007	BROOKLYN	358	1929	ELL	3550	658	71.4	668	605	17	54.3	18.5	3	10.1	2534
2007	BROOKLYN	880	9993	EP	19211	2205	83.9	686	6133	31.9	52	11.5	3	4.6	16126
2008	BROOKLYN	171	2266	ELL	3379	512	79.8	673	430	12.7	67.1	15.2	3	5.1	2696
2008	BROOKLYN	565	11544	EP	18503	1622	88.2	687	4772	25.8	62.4	8.8	3	3.1	16316
2009	BROOKLYN	92	2470	ELL	3460	416	85.3	677	482	13.9	71.4	12	3	2.7	2952
2009	BROOKLYN	215	11990	EP	18358	1179	92.4	692	4974	27.1	65.3	6.4	3	1.2	16964
2010	BROOKLYN	746	986	ELL	3661	1466	39.6	680	463	12.6	26.9	40	3	20.4	1449
2010	BROOKLYN	2015	6053	EP	18407	6035	56.3	692	4304	23.4	32.9	32.8	3	10.9	10357
2011	BROOKLYN	756	1208	ELL	3575	1458	38.1	675	153	4.3	33.8	40.8	3	21.1	1361
2011	BROOKLYN	1857	8264	EP	18613	5997	57.8	686	2495	13.4	44.4	32.2	3	10	10759
