comparable_rental_2_address/latitude	comparable_rental_2_address/human_address/address	comparable_rental_2_address/human_address/city	comparable_rental_2_address/human_address/state	comparable_rental_2_address/longitude	brooklyn_cooperatives_comparable_properties_gross_sqft	comparable_rental_1_neighborhood	comparable_rental_2_gross_sqft	brooklyn_cooperatives_comparable_properties_neighborhood	comparable_rental_2_building_classification	brooklyn_cooperatives_comparable_properties_boro_block_lot	comparable_rental_2_gross_income_per_sqft	brooklyn_cooperatives_comparable_properties_building_classification	brooklyn_cooperatives_comparable_properties_address/latitude	brooklyn_cooperatives_comparable_properties_address/human_address/address	brooklyn_cooperatives_comparable_properties_address/human_address/city	brooklyn_cooperatives_comparable_properties_address/human_address/state	brooklyn_cooperatives_comparable_properties_address/longitude	comparable_rental_1_full_market_value	comparable_rental_2_boro_block_lot	comparable_rental_1_dist_from_coop_in_miles	brooklyn_cooperatives_comparable_properties_year_built	comparable_rental_1_gross_income_per_sqft	brooklyn_cooperatives_comparable_properties_gross_income_per_sqft	comparable_rental_1_building_classification	comparable_rental_1_address/latitude	comparable_rental_1_address/human_address/address	comparable_rental_1_address/human_address/city	comparable_rental_1_address/human_address/state	comparable_rental_1_address/longitude	comparable_rental_2_neighborhood	comparable_rental_2_dist_from_coop_in_miles	comparable_rental_1_boro_block_lot	comparable_rental_2_est_gross_income	comparable_rental_1_total_units	brooklyn_cooperatives_comparable_properties_est_gross_income	comparable_rental_1_market_value_per_sqft	comparable_rental_2_total_units	brooklyn_cooperatives_comparable_properties_market_value_per_sqft	comparable_rental_2_full_market_value	brooklyn_cooperatives_comparable_properties_total_units	comparable_rental_2_year_built	comparable_rental_1_est_gross_income	brooklyn_cooperatives_comparable_properties_full_market_value	comparable_rental_1_gross_sqft	comparable_rental_2_market_value_per_sqft	comparable_rental_1_year_built
40.67497299442476	195 UNDERHILL AVENUE	Brooklyn	NY	-73.96668159153094	24918	BROOKLYN HEIGHTS	24000	BROOKLYN HEIGHTS	D1-ELEVATOR	3-00208-0319	16.24	D4-ELEVATOR	40.69757443592373	182 COLUMBIA HEIGHTS	Brooklyn	NY	-73.99672322155851	2270000	3-01173-0007	0.2	1921	21.24	17.63	D1-ELEVATOR	40.695649532469446	75 PIERREPONT STREET	Brooklyn	NY	-73.99458830702218	PROSPECT HEIGHTS	2.35	3-00236-0007	389855	36	439359	88	36	66	1320000	19	1940	548414	1640000	25818	55	1925
40.69772678072211	52 CLARK STREET	Brooklyn	NY	-73.99415621237242	84445	BROWNSVILLE	79460	BROOKLYN HEIGHTS	D5-ELEVATOR	3-00208-0331	28.2	D4-ELEVATOR	40.698201367782126	160 COLUMBIA HEIGHTS	Brooklyn	NY	-73.99642025448821	3780000	3-00236-0103	4.6	1937	20.91	23.85	D1-ELEVATOR	40.66594467794974	663 HOWARD AVENUE	Brooklyn	NY	-73.91936484804988	BROOKLYN HEIGHTS	0.15	3-03512-0001	2241734	122	2013897	44.3	142	99	9290000	84	1928	1784809	8340000	85370	117	1983
40.67471947728384	262 1 STREET	Brooklyn	NY	-73.98382006294929	15197	FLATBUSH-CENTRAL	15836	BROOKLYN HEIGHTS	D9-ELEVATOR	3-00208-0501	20.74	D4-ELEVATOR	42.43318899977248	10 MONTAGUE TERRACE	Brooklyn	NY	-78.74864600041258	2610000	3-02409-0009	3.75	1900	39.3	22.89	D9-ELEVATOR	40.65044819869886	142 ST PAUL'S PLACE	Brooklyn	NY	-73.96257993538717	WILLIAMSBURG-SOUTH	2.25	3-05079-0019	328416	16	347924	162	24	95	696000	20	1915	631162	1440000	16080	44	1912
42.43318899977248	74 MONTAGUE STREET	Brooklyn	NY	-78.74864600041258	54966	CROWN HEIGHTS	54640	BROOKLYN HEIGHTS	D3-ELEVATOR	3-00208-0508	19.41	D4-ELEVATOR	42.43318899977248	2 MONTAGUE TERRACE	Brooklyn	NY	-78.74864600041258	2670000	3-00247-0028	3.45	1917	23.09	22.06	D9-ELEVATOR	40.67157643115329	243 KINGSTON AVENUE	Brooklyn	NY	-73.94194458715805	BROOKLYN HEIGHTS	0.25	3-01251-0001	1060307	80	1212671	49	59	91	3960000	25	1912	1258513	5020000	54516	72	1910
42.43318899977248	1511 CORBIN PLACE	Brooklyn	NY	-78.74864600041258	352698	BROOKLYN HEIGHTS	109832	BROOKLYN HEIGHTS	D1-ELEVATOR	3-00212-0001	24.9	D4-ELEVATOR	40.69970465811028	140 CADMAN PLAZA	Brooklyn	NY	-73.9898230728249	40300000	3-08723-0410	0.45	1967	45.1	13.78	D6-ELEVATOR	42.43318899977248	182 MONTAGUE STREET	Brooklyn	NY	-78.74864600041258	BRIGHTON BEACH	8.8	3-00250-0030	2734487	187	4861543	221	132	29.2	11300000	250	1951	8212471	10300000	182000	103	1999
42.43318899977248	375 STATE STREET	Brooklyn	NY	-78.74864600041258	17245	DOWNTOWN-FULTON MALL	15200	BROOKLYN HEIGHTS	C1-WALK-UP	3-00216-0003	19.09	C6-WALK-UP	40.69999955232276	55 HICKS STREET	Brooklyn	NY	-73.99355388877717	589000	3-00172-0064	0.75	1900	17.41	29.1	C1-WALK-UP	40.69103473400113	406 ALBEE SQUARE	Brooklyn	NY	-73.9835005854088	DOWNTOWN-FULTON MALL	1	3-00146-0036	290159	15	501289	65	20	135	1080000	30	1905	157643	2330000	9055	71	1905
40.63902430326701	405 WESTMINSTER ROAD	Brooklyn	NY	-73.96682888247585	593599	BROOKLYN HEIGHTS	153424	BROOKLYN HEIGHTS	D1-ELEVATOR	3-00217-0001	12.88	D4-ELEVATOR	40.69864349455783	75 HENRY STREET	Brooklyn	NY	-73.99240031433479	5380000	3-05155-0050	0.25	1967	16.15	14.32	D7-ELEVATOR	40.695829631477615	55 PIERREPONT STREET	Brooklyn	NY	-73.99523151776565	FLATBUSH-CENTRAL	4.35	3-00236-0015	1976843	191	8500147	34.3	138	48.3	6160000	370	1960	2536474	28700000	157042	40.2	1928
42.43318899977248	1879 3 STREET	Brooklyn	NY	-78.74864600041258	39280	DOWNTOWN-FULTON FERRY	36769	BROOKLYN HEIGHTS	D3-ELEVATOR	3-00219-0005	17.73	C6-WALK-UP	40.70022307856585	81 COLUMBIA HEIGHTS	Brooklyn	NY	-73.99538298498895	2540000	3-06681-0225	0.65	1890	21.65	21.55	D8-ELEVATOR	40.702970948924616	254 WATER STREET	Brooklyn	NY	-73.98370198590868	OCEAN PARKWAY-SOUTH	6.8	3-00042-0018	652000	26	846360	90	50	89	1380000	60	1987	614007	3510000	28358	37.5	2002
40.65044819869886	142 ST PAUL'S PLACE	Brooklyn	NY	-73.96257993538717	13428	WILLIAMSBURG-SOUTH	16080	BROOKLYN HEIGHTS	D9-ELEVATOR	3-00221-0033	39.3	C6-WALK-UP	40.698969919086686	73 ORANGE STREET	Brooklyn	NY	-73.9930971077105	590000	3-05079-0019	2.15	1925	17.12	19.57	D9-ELEVATOR	40.674613611257094	279 1 STREET	Brooklyn	NY	-73.9834649459981	FLATBUSH-CENTRAL	3.7	3-02396-0027	631162	22	262834	36.3	16	81	2610000	16	1912	278262	1090000	16250	162	1910
42.43318899977248	74 MONTAGUE STREET	Brooklyn	NY	-78.74864600041258	52012	PROSPECT HEIGHTS	54640	BROOKLYN HEIGHTS	D3-ELEVATOR	3-00226-0001	19.41	D4-ELEVATOR	40.698530901381154	45 PINEAPPLE STREET	Brooklyn	NY	-73.99417640609872	3490000	3-00247-0028	2.3	1939	17.91	17.53	D1-ELEVATOR	40.67215587184343	159 EASTERN PARKWAY	Brooklyn	NY	-73.9639196471878	BROOKLYN HEIGHTS	0.3	3-01179-0097	1060307	72	911565	67	59	66	3960000	68	1912	933968	3410000	52140	72	1927
