comparable_rental_2_address	comparable_rental_1_neighborhood	bronx_condominium_property_boro_block_lot	comparable_rental_2_gross_sqft	bronx_condominium_property_neighborhood	comparable_rental_2_building_classification	bronx_condominium_property_year_built	bronx_condominium_property_gross_income_per_sqft	bronx_condominium_property_full_market_value	comparable_rental_2_gross_income_per_sqft	comparable_rental_1_full_market_value	comparable_rental_2_boro_block_lot	comparable_rental_1_dist_from_coop_in_miles	comparable_rental_1_gross_income_per_sqft	bronx_condominium_property_condo_section	comparable_rental_1_building_classification	bronx_condominium_property_est_gross_income	bronx_condominium_property_gross_sqft	comparable_rental_1_address	comparable_rental_2_neighborhood	bronx_condominium_property_market_value_per_sqft	comparable_rental_2_dist_from_coop_in_miles	bronx_condominium_property_building_classification	comparable_rental_2_est_gross_income	comparable_rental_1_total_units	comparable_rental_1_market_value_per_sqft	comparable_rental_2_total_units	comparable_rental_2_full_market_value	comparable_rental_2_year_built	bronx_condominium_property_total_units	comparable_rental_1_est_gross_income	_comparable_rental_1_boro_block_lot	comparable_rental_1_gross_sqft	bronx_condominium_property_address	comparable_rental_2_market_value_per_sqft	comparable_rental_1_year_built
2131 VYSE AVENUE	EAST TREMONT	2-03432-7501	26700	SOUNDVIEW	D1-ELEVATOR	1989	12.3	552000	11.27	999000	2-03129-0029	3.25	14.75	33-R3	D5-ELEVATOR	196455	15972	1898 BELMONT AVENUE	EAST TREMONT	34.6	2.95	R2-WALK-UP	300819	20	49.9	20	638000	1931	14	295326	2-02946-0016	20025	124 NEPTUNE LANE	23.9	1911
2131 VYSE AVENUE	EAST TREMONT	2-03432-7501	26700	SOUNDVIEW	D1-ELEVATOR	1989	12.75	881002	11.27	999000	2-03129-0029	3.25	14.75	33-R4	D5-ELEVATOR	283037	22199	1898 BELMONT AVENUE	EAST TREMONT	39.7	2.95	R2-WALK-UP	300819	20	49.9	20	638000	1931	18	295326	2-02946-0016	20025	232 FLEET COURT	23.9	1911
2131 VYSE AVENUE	EAST TREMONT	2-03432-7501	26700	SOUNDVIEW	D1-ELEVATOR	1989	13	822004	11.27	999000	2-03129-0029	3.25	14.75	33-R5	D5-ELEVATOR	263952	20304	1898 BELMONT AVENUE	EAST TREMONT	40.5	2.95	R2-WALK-UP	300819	20	49.9	20	638000	1931	18	295326	2-02946-0016	20025	201 SUNSET BOULEVARD	23.9	1911
876 EAST 180 STREET	HIGHBRIDGE/MORRIS HEIGHTS	2-03432-7501	21582	SOUNDVIEW	D1-ELEVATOR	1989	13.5	1450000	15.52	863000	2-03123-0053	4.25	10.76	33-R6	D5-ELEVATOR	465966	34516	1604 JESUP AVENUE	EAST TREMONT	42	3	R2-WALK-UP	334900	29	22.81	25	1130000	1910	28	406896	2-02872-0252	37830	301 ADMIRAL LANE	52	1921
2022 BENEDICT AVENUE	PARKCHESTER	2-03929-7501	103284	PARKCHESTER	D1-ELEVATOR	1933	10.94	3110006	9.9	3640000	2-03932-0050	0.45	10.75	23-R1	D1-ELEVATOR	1200818	109764	1565 THIERIOT AVENUE	PARKCHESTER	28.3	0.25	R4-ELEVATOR	1022543	120	27.9	92	2170000	1928	128	1402943	2-03925-0018	130500	99 METROPOLITAN OVAL	21.01	1930
2100 BRONX PARK EAST	PARKCHESTER	2-03929-7501	168990	PARKCHESTER	D1-ELEVATOR	1933	10.94	53000194	10.94	3640000	2-04286-0022	0.25	10.75	23-R2	D1-ELEVATOR	20429060	1867373	1565 THIERIOT AVENUE	PELHAM PARKWAY SOUTH	28.4	1.2	R4-ELEVATOR	1849100	120	27.9	157	4790000	1929	2121	1402943	2-03925-0018	130500	1469 WEST AVENUE	28.3	1930
2100 BRONX PARK EAST	PARKCHESTER	2-03929-7501	168990	PARKCHESTER	D1-ELEVATOR	1933	10.94	77200099	10.94	3640000	2-04286-0022	0.5	10.75	23-R3	D1-ELEVATOR	29798601	2723821	1565 THIERIOT AVENUE	PELHAM PARKWAY SOUTH	28.3	1.3	R4-ELEVATOR	1849100	120	27.9	157	4790000	1929	2659	1402943	2-03925-0018	130500	1925 MC GRAW AVENUE	28.3	1930
2100 BRONX PARK EAST	PARKCHESTER	2-03929-7501	168990	PARKCHESTER	D1-ELEVATOR	1933	10.94	95399756	10.94	3640000	2-04286-0022	0.4	10.75	23-R4	D1-ELEVATOR	36812848	3364977	1565 THIERIOT AVENUE	PELHAM PARKWAY SOUTH	28.4	1	R4-ELEVATOR	1849100	120	27.9	157	4790000	1929	3378	1402943	2-03925-0018	130500	14 METROPOLITAN OVAL	28.3	1930
2022 BENEDICT AVENUE	PARKCHESTER	2-03944-7501	103284	PARKCHESTER	D1-ELEVATOR	1955	10.75	105999815	9.9	3640000	2-03932-0050	0.4	10.75	2-R1	D1-ELEVATOR	40866017	3801490	1565 THIERIOT AVENUE	PARKCHESTER	27.9	0.45	R4-ELEVATOR	1022543	120	27.9	92	2170000	1928	3857	1402943	2-03925-0018	130500	9 METROPOLITAN OVAL	21.01	1930
""	PARKCHESTER	2-03944-7501		PARKCHESTER		1955	10.91	3100006		7510000		0.9	10.91	2-R2	D1-ELEVATOR	1197525	109764	1500 NOBLE AVENUE		28.2		R4-ELEVATOR		238	28.3				128	2898181	2-03895-0001	265625	1722 PURDY STREET		1965
2255 BARKER AVENUE	SCHUYLERVILLE/PELHAM BAY	2-04163-7501	31320	SCHUYLERVILLE/PELHAM BAY	D1-ELEVATOR	1965	15.05	1389999	11.99	1580000	2-04340-0086	0.6	15.05	12-R1	D1-ELEVATOR	411105	27316	2023 BURR AVENUE	BRONXDALE	51	2.15	R4-ELEVATOR	375680	37	51	42	1060000	1964	35	468559	2-04249-0042	31125	1725 EDISON AVENUE	33.8	1963
1610 MAHAN AVENUE	SCHUYLERVILLE/PELHAM BAY	2-04174-7501	51000	SCHUYLERVILLE/PELHAM BAY	D7-ELEVATOR	2003	16.89	1049997	13.3	2640000	2-04173-0029	0.5	16.89	66-R1	D1-ELEVATOR	281860	16688	1632 HUTCH RIVER PARKWAY	SCHUYLERVILLE/PELHAM BAY	63	0.05	R4-ELEVATOR	678058	44	63	57	2110000	1928	21	706061	2-04153-0008	41800	1600 PARKVIEW AVENUE	41.4	2002
1401 JESUP AVENUE	MELROSE/CONCOURSE	2-04248-7501	25200	SCHUYLERVILLE/PELHAM BAY	D1-ELEVATOR	0	28.7	1190002	22.57	2850000	2-02872-0036	4.5	35.2	124-R1	D1-ELEVATOR	288047	10033	1305 MORRIS AVENUE	HIGHBRIDGE/MORRIS HEIGHTS	119	4.85	R4-ELEVATOR	568669	73	75	81	2360000	2006	11	1343977	2-02816-0066	38212	2013 COLONIAL AVENUE	94	2003
678 SAGAMORE STREET	MORRIS PARK/VAN NEST	2-04284-7501	82015	MORRIS PARK/VAN NEST	D1-ELEVATOR	2005	10.06	2590000	8.91	2100000	2-04253-0084	0.25	10.06	70-R1	D1-ELEVATOR	1087486	108100	1975 BIRCHALL AVENUE	MORRIS PARK/VAN NEST	23.96	0.25	R9-CONDOPS	731129	90	23.89	90	1550000	2002	100	884049	2-04253-0080	87902	2040 WHITE PLAINS ROAD	18.9	2002
2126 MULINER AVENUE	PELHAM PARKWAY SOUTH	2-04307-7501	28979	PELHAM PARKWAY SOUTH	C9-WALK-UP	1964	14.5	2750000	14.5	1250000	2-04324-0001	0.45	12.39	27-R1	C9-WALK-UP	812000	56000	2179 MATTHEWS AVENUE	PELHAM PARKWAY SOUTH	49.1	0.35	R4-ELEVATOR	420146	48	34.8	38	1420000	1950	48	445576	2-04322-0043	35960	1144 LYDIG AVENUE	49	1948
831 BARTHOLDI STREET	BRONXDALE	2-04340-7501	127629	BRONXDALE	D1-ELEVATOR	1960	11.99	3919962	13.93	2340000	2-04633-0001	0.7	13.49	14-R1	D1-ELEVATOR	1393238	116200	600 BURKE AVENUE	BRONXDALE	33.7	1.05	R4-ELEVATOR	1777643	57	42	122	4610000	1973	122	751577	2-04543-0021	55722	610 WARING AVENUE	36.1	1968
2265 OLINVILLE AVENUE	BRONXDALE	2-04340-7502	31320	BRONXDALE	D1-ELEVATOR	1960	11.99	4289996	7.77	1060000	2-04341-0075	0	11.99	17-R1	D1-ELEVATOR	1526207	127290	2255 BARKER AVENUE	BRONXDALE	33.7	0.05	R4-ELEVATOR	243478	42	33.8	40	516000	1962	122	375680	2-04340-0086	31320	2385 BARKER AVENUE	16.48	1964
""	BRONXDALE	2-04545-7501		BRONXDALE		2007	13.59	3620000		4610000		0.4	13.93	91-R1	D1-ELEVATOR	1163059	85582	831 BARTHOLDI STREET		42.3		R9-CONDOPS		122	36.1				74	1777643	2-04633-0001	127629	3035 WHITE PLAINS ROAD		1973
800 EAST 223 STREET	WESTCHESTER	2-04664-7501	18850	WILLIAMSBRIDGE	C1-WALK-UP	2006	14.07	842002	15.39	543000	2-04847-0039	3.1	10.11	75-R1	C1-WALK-UP	270495	19225	1405 ROWLAND STREET	WILLIAMSBRIDGE	43.8	0.35	R2-WALK-UP	290110	27	24.07	23	815000	1927	24	228125	2-03973-0036	22560	720 EAST 217 STREET	43.2	1927
4360 FURMAN AVENUE	MORRISANIA/LONGWOOD	2-04668-7501	26280	WILLIAMSBRIDGE	C1-WALK-UP	2005	13.53	1239998	11.37	921000	2-05047-0006	4.8	13.96	76-R1	D5-ELEVATOR	396699	29320	900 FOX STREET	WAKEFIELD	42.3	1	R2-WALK-UP	298871	30	29.6	27	775000	1931	24	434321	2-02722-0048	31110	724 EAST 221 STREET	29.5	1922
2273 TIEBOUT AVENUE	BELMONT	2-05529-7501	10032	THROGS NECK	C1-WALK-UP	2000	14.2	558000	13.28	851000	2-03145-0028	5.3	16.83	83-R1	C1-WALK-UP	179260	12624	2463 HUGHES AVENUE	FORDHAM	44.2	5.8	R2-WALK-UP	133273	16	63	16	283000	1925	15	227559	2-03077-0050	13520	24 PENNYFIELD AVENUE	28.2	2004
6225 BROADWAY	THROGS NECK	2-05529-7502	78825	THROGS NECK	C9-WALK-UP	1998	13	2580005	13.08	3030000	2-05825-1554	1.2	17.32	82-R1	C9-WALK-UP	828594	63738	2631 SCHURZ AVENUE	FIELDSTON	40.5	7.6	R2-WALK-UP	1030952	79	65	96	3210000	1950	45	811185	2-05606-0001	46832	1 PENNYFIELD AVENUE	40.7	1978
6225 BROADWAY	THROGS NECK	2-05604-7501	78825	THROGS NECK	C9-WALK-UP	1984	15	3220003	13.08	3030000	2-05825-1554	0.2	17.32	16-R1	C9-WALK-UP	951240	63416	2631 SCHURZ AVENUE	FIELDSTON	51	7	R4-ELEVATOR	1030952	79	65	96	3210000	1950	52	811185	2-05606-0001	46832	2718 SCHURZ AVENUE	40.7	1978
2327 WALTON AVENUE	RIVERDALE	2-05606-7502	16200	THROGS NECK	C1-WALK-UP	1997	17.35	1309999	13.46	435000	2-03187-0045	6.7	18.57	56-R1	C1-WALK-UP	331038	19080	3205 OXFORD AVENUE	FORDHAM	69	5.2	R2-WALK-UP	218062	12	69	17	679000	1926	20	116238	2-05786-0240	6260	195 BALCOM AVENUE	41.9	1985
5431 SYLVAN AVENUE	SCHUYLERVILLE/PELHAM BAY	2-05643-7501	18756	CITY ISLAND	C1-WALK-UP	1897	13	671998	15.84	672000	2-05844-1935	2.85	13.08	60-R1	C9-WALK-UP	215865	16605	3080 EAST TREMONT AVENUE	RIVERDALE	40.5	7.1	R2-WALK-UP	297022	27	40.7	24	1000000	1972	16	215923	2-05371-0060	16507	190 FORDHAM STREET	53	1962
